title|genre|director|actors|description|rating
The Wolf of Wall Street|Biography|Comedy|Crime|Martin Scorsese|Leonardo DiCaprio/Jonah Hill/Margot Robbie|Based on the true story of Jordan Belfort from his rise to a wealthy stockbroker living the high life to his fall involving crime corruption and the federal government.|8.2
Taxi Driver|Crime|Drama|Martin Scorsese|Robert De Niro/Jodie Foster/Cybill Shepherd|A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge to violently clean up the city.|8.2
The Silence of the Lambs|Crime|Drama|Thriller|Jonathan Demme|Jodie Foster/Anthony Hopkins/Scott Glenn|A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.|8.6
Se7en|Crime|Drama|Mystery|David Fincher|Morgan Freeman/Brad Pitt/Kevin Spacey|Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives.|8.6
Fight Club|Drama|David Fincher|Brad Pitt/Edward Norton/Helena Bonham Carter|An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.|8.8
Gone Girl|Drama|Mystery|Thriller|David Fincher|Ben Affleck/Rosamund Pike/Neil Patrick Harris|With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.|8.1
The Matrix|Action|Sci-Fi|Lana Wachowski|Keanu Reeves/Laurence Fishburne/Carrie-Anne Moss|A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.|8.7
The Matrix Reloaded|Action|Sci-Fi|Lana Wachowski|Keanu Reeves/Laurence Fishburne/Carrie-Anne Moss|Neo and the rebel leaders estimate that they have 72 hours until 250000 probes discover Zion and destroy it and its inhabitants.|7.2
V for Vendetta|Action|Drama|Sci-Fi|James McTeigue|Hugo Weaving/Natalie Portman/Rupert Graves|In a future British dystopian society a shadowy freedom fighter known as V uses terrorist tactics to fight the fascist government.|8.2
Forrest Gump|Drama|Romance|Robert Zemeckis|Tom Hanks/Robin Wright/Gary Sinise|The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.|8.8
Cast Away|Adventure|Drama|Robert Zemeckis|Tom Hanks/Helen Hunt/Nick Searcy|A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.|7.8
The Truman Show|Comedy|Drama|Peter Weir|Jim Carrey/Laura Linney/Noah Emmerich|An insurance salesman discovers his whole life is actually a reality TV show.|8.1
Gladiator|Action|Adventure|Drama|Ridley Scott|Russell Crowe/Joaquin Phoenix/Connie Nielsen|A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.|8.5
The Martian|Adventure|Drama|Sci-Fi|Ridley Scott|Matt Damon/Jessica Chastain/Kristen Wiig|An astronaut becomes stranded on Mars after his team assume him dead and must rely on his ingenuity to find a way to signal that he is alive.|8.0
Blade Runner 2049|Drama|Mystery|Sci-Fi|Denis Villeneuve|Ryan Gosling/Harrison Ford/Ana de Armas|Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard.|8.0
Arrival|Drama|Mystery|Sci-Fi|Denis Villeneuve|Amy Adams/Jeremy Renner/Forest Whitaker|A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.|7.9
Dune|Action|Adventure|Drama|Denis Villeneuve|Timothee Chalamet/Rebecca Ferguson/Oscar Isaac|Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset in the galaxy.|8.0
Avengers Endgame|Action|Adventure|Drama|Anthony Russo|Robert Downey Jr./Chris Evans/Mark Ruffalo|After the devastating events of Infinity War the universe is in ruins. The Avengers assemble once more to reverse Thanos's actions.|8.4
Avengers Infinity War|Action|Adventure|Sci-Fi|Anthony Russo|Robert Downey Jr./Chris Evans/Chris Hemsworth|The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.|8.4
Iron Man|Action|Adventure|Sci-Fi|Jon Favreau|Robert Downey Jr./Gwyneth Paltrow/Terrence Howard|After being held captive in an Afghan cave billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.|7.9
Spider-Man No Way Home|Action|Adventure|Sci-Fi|Jon Watts|Tom Holland/Zendaya/Benedict Cumberbatch|With Spider-Man's identity now revealed Peter asks Doctor Strange for help. When a spell goes wrong dangerous foes from other worlds start to appear.|8.2
The Lion King|Animation|Adventure|Drama|Roger Allers|Matthew Broderick/Jeremy Irons/James Earl Jones|Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne himself.|8.5
Toy Story|Animation|Adventure|Comedy|John Lasseter|Tom Hanks/Tim Allen/Don Rickles|A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.|8.3
Up|Animation|Adventure|Comedy|Pete Docter|Edward Asner/Jordan Nagai/John Ratzenberger|78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons inadvertently taking a young stowaway.|8.2
WALL-E|Animation|Adventure|Romance|Andrew Stanton|Ben Burtt/Elissa Knight/Jeff Garlin|In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.|8.4
Finding Nemo|Animation|Adventure|Comedy|Andrew Stanton|Albert Brooks/Ellen DeGeneres/Alexander Gould|After his son is taken by a scuba diver an overprotective clownfish sets out on a journey across the ocean with a forgetful fish named Dory.|8.1
Parasite|Comedy|Drama|Thriller|Bong Joon-ho|Song Kang-ho/Lee Sun-kyun/Cho Yeo-jeong|Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.|8.5
Oldboy|Action|Drama|Mystery|Park Chan-wook|Choi Min-sik/Yoo Ji-tae/Gang Hye-jung|After being kidnapped and imprisoned for fifteen years Oh Dae-Su is released only to find that he must find his captor in five days.|8.4
Spirited Away|Animation|Adventure|Family|Hayao Miyazaki|Daveigh Chase/Suzanne Pleshette/Miyu Irino|During her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits.|8.6
Princess Mononoke|Action|Adventure|Fantasy|Hayao Miyazaki|Yoji Matsuda/Yuriko Ishida/Yuko Tanaka|On a journey to find the cure for a Tatarigami's curse Ashitaka finds himself in the middle of a war between the forest gods and Tatara a mining colony.|8.4
My Neighbor Totoro|Animation|Family|Fantasy|Hayao Miyazaki|Noriko Hidaka/Dakota Fanning/Elle Fanning|When two girls move to the country to be near their ailing mother they have adventures with the wondrous forest spirits who live nearby.|8.1
